"id","temp_humidity","temp_pressure","pressure","humidity","pitch","roll","yaw","compass_x","compass_y","compass_z","acc_x","acc_y","acc_z","gyro_x","gyro_y","gyro_z","capture_time","capture_timestamp","status","comment"
"23","36.8812","36.7875","1013.1","33.1108","105.236","0.960344","358.18","-18.4186","-5.77695","-27.5176","0.0160243","0.0310331","0.999157","-0.00748035","-0.00363747","0.00334184","2015-12-08 14:51:55","1449557515937","Synced","Still"
"24","36.8092","36.7792","1013.1","35.0493","104.77","0.946428","358.166","-18.4118","-5.61773","-27.182","0.0169955","0.031518","0.999401","-0.00897123","-0.00271638","0.00276656","2015-12-08 14:51:56","1449557516144","Synced","Still"
"25","36.9352","36.775","1013.12","34.7778","105.357","0.974259","358.166","-18.5312","-5.83744","-26.9185","0.0167527","0.0317604","0.998913","-0.00927641","-0.00304679","0.00333225","2015-12-08 14:51:56","1449557516402","Synced","Still"
"26","36.8632","36.7833","1013.11","33.5851","105.442","0.877063","358.235","-18.3562","-5.82041","-27.8128","0.0157815","0.0327302","0.999644","-0.00685871","-0.00244064","0.00275638","2015-12-08 14:51:56","1449557516626","Synced","Still"
"27","36.8092","36.7812","1013.1","35.7161","105.226","0.918373","358.236","-18.5925","-5.78538","-27.0163","0.0157815","0.0307906","0.999157","-0.00741423","-0.00151981","0.00337709","2015-12-08 14:51:56","1449557516834","Synced","Still"
"28","36.8272","39.6437","1013.1","35.0768","105.314","0.93274","358.138","-18.6118","-5.86463","-26.9661","0.0152959","0.0307906","0.999644","-0.00687873","-0.00488358","0.00389761","2015-12-08 14:51:57","1449557517040","Synced","Still"
"29","36.9172","36.7875","1013.08","36.0358","104.448","0.96011","358.305","-18.7989","-5.53704","-27.0265","0.0155387","0.0307906","0.999644","-0.00562252","-0.00363713","0.00274637","2015-12-08 14:51:57","1449557517253","Synced","Still"
"30","36.8272","36.7833","1013.07","34.0044","105.387","0.946428","358.291","-18.7953","-5.85816","-26.6911","0.0155387","0.0305482","0.999401","-0.00712898","-0.00336787","0.00335202","2015-12-08 14:51:57","1449557517462","Synced","Still"
"31","36.8272","36.7833","1013.06","35.2212","105.321","0.904681","358.208","-18.3704","-5.76497","-26.7537","0.0167527","0.0320029","0.999401","-0.00750002","-0.00327677","0.00244145","2015-12-08 14:51:57","1449557517664","Synced","Still"
"32","36.8452","36.7896","1013.06","34.8603","105.786","0.890765","358.208","-18.4287","-5.94044","-26.7605","0.0160243","0.0324878","0.998913","-0.00598288","-0.00425269","0.00393756","2015-12-08 14:51:57","1449557517867","Synced","Still"
"33","36.8812","36.7854","1013.06","34.7537","105.567","0.988416","358.207","-18.5098","-5.8842","-27.0359","0.0167527","0.0322453","0.999401","-0.00564784","-0.00209055","0.00213619","2015-12-08 14:51:58","1449557518077","Synced","Still"
"34","36.9172","36.7875","1013.06","35.0665","105.379","0.987452","358.209","-18.4705","-5.80748","-26.9839","0.0157815","0.0310331","0.999401","-0.00593788","-0.00152477","0.00336203","2015-12-08 14:51:58","1449557518285","Synced","Still"
"35","36.8092","36.7917","1013.08","34.8843","105.546","0.904461","358.18","-18.4385","-5.88312","-27.1331","0.0172383","0.0322453","0.999157","-0.00803038","-0.00391228","0.003332","2015-12-08 14:51:58","1449557518493","Synced","Still"
"36","36.8632","36.7833","1013.08","33.8017","105.307","0.946428","358.208","-18.7444","-5.85761","-26.7505","0.0167527","0.0307906","0.999401","-0.00864579","-0.00422275","0.00365223","2015-12-08 14:51:58","1449557518706","Synced","Still"
"37","36.8272","36.7917","1013.1","34.5647","105.339","0.918597","358.208","-18.6414","-5.8576","-27.2675","0.0157815","0.0317604","0.999401","-0.00775456","-0.00186031","0.00480338","2015-12-08 14:51:58","1449557518921","Synced","Still"
